,OBSPHYSOT
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,-7.0
311,-7.0
312,-7.0
313,-7.0
314,-7.0
315,-7.0
316,-7.0
317,-7.0
318,-7.0
319,-7.0
320,-7.0
321,-7.0
322,-7.0
323,-7.0
324,-7.0
325,-7.0
326,-7.0
327,-7.0
328,-7.0
329,-7.0
330,-7.0
331,-7.0
332,-7.0
333,-7.0
334,-7.0
335,-7.0
336,-7.0
337,-7.0
338,-7.0
339,-7.0
340,-7.0
341,-7.0
342,-7.0
343,-7.0
344,-7.0
345,-7.0
346,-7.0
347,-7.0
348,-7.0
349,-7.0
350,-7.0
351,-7.0
352,-7.0
353,-7.0
354,-7.0
355,-7.0
356,-7.0
357,-7.0
358,-7.0
359,-7.0
360,-7.0
361,-7.0
362,-7.0
363,-7.0
364,-7.0
365,-7.0
366,-7.0
367,-7.0
368,-7.0
369,-7.0
370,-7.0
371,-7.0
372,-7.0
373,-7.0
374,-7.0
375,-7.0
376,-7.0
377,-7.0
378,-7.0
379,-7.0
380,-7.0
381,-7.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,1.0
537,1.0
538,1.0
539,1.0
540,1.0
541,1.0
542,1.0
543,1.0
544,1.0
545,1.0
546,1.0
547,1.0
548,1.0
549,1.0
550,1.0
551,1.0
552,1.0
553,1.0
554,1.0
555,1.0
556,1.0
557,1.0
558,1.0
559,1.0
560,1.0
561,1.0
562,1.0
563,1.0
564,1.0
565,1.0
566,1.0
567,1.0
568,1.0
569,1.0
570,1.0
571,1.0
572,1.0
573,1.0
574,1.0
575,1.0
576,1.0
577,1.0
578,1.0
579,1.0
580,1.0
581,1.0
582,1.0
583,1.0
584,1.0
585,1.0
586,1.0
587,1.0
588,1.0
589,1.0
590,1.0
591,1.0
592,1.0
593,1.0
594,1.0
595,1.0
596,1.0
597,1.0
598,1.0
599,1.0
600,1.0
601,1.0
602,1.0
603,1.0
604,1.0
605,1.0
606,1.0
607,1.0
608,1.0
609,1.0
610,1.0
611,1.0
612,1.0
613,1.0
614,1.0
615,1.0
616,1.0
617,1.0
618,1.0
619,1.0
620,1.0
621,1.0
622,1.0
623,1.0
624,1.0
625,1.0
626,1.0
627,1.0
628,1.0
629,1.0
630,1.0
631,1.0
632,1.0
633,1.0
634,1.0
635,1.0
636,1.0
637,1.0
638,1.0
639,1.0
640,1.0
641,1.0
642,1.0
643,1.0
644,1.0
645,1.0
646,1.0
647,1.0
648,1.0
649,1.0
650,1.0
651,1.0
652,1.0
653,1.0
654,1.0
655,1.0
656,1.0
657,1.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,1.0
775,1.0
776,1.0
777,1.0
778,1.0
779,1.0
780,1.0
781,1.0
782,1.0
783,1.0
784,1.0
785,1.0
786,1.0
787,1.0
788,1.0
789,1.0
790,1.0
791,1.0
792,1.0
793,1.0
794,1.0
795,1.0
796,1.0
797,1.0
798,1.0
799,1.0
800,1.0
801,1.0
802,1.0
803,1.0
804,1.0
805,1.0
806,1.0
807,1.0
808,1.0
809,1.0
810,1.0
811,1.0
812,1.0
813,1.0
814,1.0
815,1.0
816,1.0
817,1.0
818,1.0
819,1.0
820,1.0
821,1.0
822,1.0
823,1.0
824,1.0
825,1.0
826,1.0
827,1.0
828,1.0
829,1.0
830,1.0
831,1.0
832,1.0
833,1.0
834,1.0
835,1.0
836,1.0
837,1.0
838,1.0
839,1.0
840,1.0
841,1.0
842,1.0
843,1.0
844,1.0
845,1.0
846,1.0
847,1.0
848,1.0
849,1.0
850,1.0
851,1.0
852,1.0
853,1.0
854,1.0
855,-7.0
856,-7.0
857,-7.0
858,-7.0
859,-7.0
860,-7.0
861,-7.0
862,-7.0
863,-7.0
864,-7.0
865,-7.0
866,-7.0
867,-7.0
868,-7.0
869,-7.0
870,-7.0
871,-7.0
872,-7.0
873,-7.0
874,-7.0
875,-7.0
876,-7.0
877,1.0
878,1.0
879,1.0
880,1.0
881,1.0
882,1.0
883,1.0
884,1.0
885,1.0
886,1.0
887,1.0
888,1.0
889,1.0
890,1.0
891,1.0
892,1.0
893,1.0
894,1.0
895,1.0
896,1.0
897,1.0
898,1.0
899,1.0
900,1.0
901,1.0
902,1.0
903,1.0
904,1.0
905,1.0
906,1.0
907,1.0
908,1.0
909,1.0
910,1.0
911,1.0
912,1.0
913,1.0
914,1.0
915,1.0
916,1.0
917,1.0
918,1.0
919,1.0
920,1.0
921,1.0
922,1.0
923,1.0
924,1.0
925,1.0
926,1.0
927,1.0
928,1.0
929,1.0
930,1.0
931,1.0
932,1.0
933,1.0
934,1.0
935,1.0
936,1.0
937,1.0
938,1.0
939,1.0
940,1.0
941,1.0
942,1.0
943,1.0
944,1.0
945,1.0
946,1.0
947,1.0
948,1.0
949,1.0
950,1.0
951,1.0
952,1.0
953,1.0
954,1.0
955,1.0
956,1.0
957,1.0
958,1.0
959,1.0
960,1.0
961,1.0
962,1.0
963,1.0
964,1.0
965,1.0
966,1.0
967,1.0
968,1.0
969,1.0
970,1.0
971,1.0
972,1.0
973,1.0
974,1.0
975,1.0
976,1.0
977,1.0
978,1.0
979,1.0
980,1.0
981,1.0
982,1.0
983,1.0
984,1.0
985,1.0
986,1.0
987,1.0
988,1.0
989,1.0
990,1.0
991,1.0
992,1.0
993,1.0
994,1.0
995,1.0
996,1.0
997,1.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,0.0
1111,0.0
1112,0.0
1113,0.0
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,0.0
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,0.0
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,0.0
1208,0.0
1209,0.0
1210,0.0
1211,0.0
1212,0.0
1213,0.0
1214,0.0
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,-7.0
1221,-7.0
1222,-7.0
1223,-7.0
1224,-7.0
1225,-7.0
1226,-7.0
1227,-7.0
1228,-7.0
1229,-7.0
1230,-7.0
1231,-7.0
1232,-7.0
1233,-7.0
1234,-7.0
1235,-7.0
1236,-7.0
1237,-7.0
1238,-7.0
1239,-7.0
1240,-7.0
1241,-7.0
1242,-7.0
1243,-7.0
1244,-7.0
1245,-7.0
1246,-7.0
1247,-7.0
1248,-7.0
1249,-7.0
1250,-7.0
1251,-7.0
1252,-7.0
1253,-7.0
1254,-7.0
1255,-7.0
1256,-7.0
1257,-7.0
1258,-7.0
1259,-7.0
1260,-7.0
1261,-7.0
1262,-7.0
1263,-7.0
1264,-7.0
1265,-7.0
1266,-7.0
1267,-7.0
1268,-7.0
1269,-7.0
1270,-7.0
1271,-7.0
1272,-7.0
1273,-7.0
1274,-7.0
1275,-7.0
1276,-7.0
1277,-7.0
1278,-7.0
1279,-7.0
1280,-7.0
1281,-7.0
1282,-7.0
1283,-7.0
1284,-7.0
1285,-7.0
1286,-7.0
1287,-7.0
1288,-7.0
1289,-7.0
1290,-7.0
1291,-7.0
1292,-7.0
1293,-7.0
1294,-7.0
1295,-7.0
1296,-7.0
1297,-7.0
1298,-7.0
1299,-7.0
1300,-7.0
1301,-7.0
1302,-7.0
1303,-7.0
1304,-7.0
1305,-7.0
1306,-7.0
1307,-7.0
1308,-7.0
1309,-7.0
1310,-7.0
1311,-7.0
1312,-7.0
1313,-7.0
1314,-7.0
1315,-7.0
1316,-7.0
1317,-7.0
1318,-7.0
1319,-7.0
1320,-7.0
1321,-7.0
1322,-7.0
1323,-7.0
1324,-7.0
1325,-7.0
1326,-7.0
1327,-7.0
1328,-7.0
1329,-7.0
1330,0.0
1331,0.0
1332,0.0
1333,0.0
1334,0.0
1335,0.0
1336,0.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,0.0
1356,0.0
1357,0.0
1358,0.0
1359,0.0
1360,0.0
1361,0.0
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,0.0
1374,0.0
1375,0.0
1376,0.0
1377,0.0
1378,0.0
1379,0.0
1380,0.0
1381,0.0
1382,0.0
1383,0.0
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,0.0
1399,0.0
1400,0.0
1401,0.0
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,0.0
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,-7.0
1412,-7.0
1413,-7.0
1414,-7.0
1415,-7.0
1416,-7.0
1417,-7.0
1418,-7.0
1419,-7.0
1420,-7.0
1421,-7.0
1422,-7.0
1423,-7.0
1424,-7.0
1425,-7.0
1426,-7.0
1427,-7.0
1428,-7.0
1429,-7.0
1430,-7.0
1431,-7.0
1432,-7.0
1433,-7.0
1434,-7.0
1435,-7.0
1436,-7.0
1437,-7.0
1438,-7.0
1439,-7.0
1440,-7.0
1441,-7.0
1442,-7.0
1443,-7.0
1444,-7.0
1445,-7.0
1446,-7.0
1447,-7.0
1448,-7.0
1449,-7.0
1450,-7.0
1451,-7.0
1452,-7.0
1453,-7.0
1454,-7.0
1455,-7.0
1456,-7.0
1457,-7.0
1458,-7.0
1459,-7.0
1460,-7.0
1461,-7.0
1462,-7.0
1463,-7.0
1464,-7.0
1465,-7.0
1466,-7.0
1467,-7.0
1468,-7.0
1469,-7.0
1470,-7.0
1471,-7.0
1472,-7.0
1473,-7.0
1474,-7.0
1475,-7.0
1476,-7.0
1477,-7.0
1478,-7.0
1479,-7.0
1480,-7.0
1481,-7.0
1482,-7.0
1483,-7.0
1484,-7.0
1485,-7.0
1486,-7.0
1487,-7.0
1488,-7.0
1489,-7.0
1490,-7.0
1491,-7.0
1492,-7.0
1493,-7.0
1494,-7.0
1495,-7.0
1496,-7.0
1497,-7.0
1498,-7.0
1499,-7.0
1500,-7.0
1501,-7.0
1502,-7.0
1503,-7.0
1504,-7.0
1505,-7.0
1506,-7.0
1507,-7.0
1508,-7.0
1509,-7.0
1510,-7.0
1511,-7.0
1512,-7.0
1513,-7.0
1514,-7.0
1515,-7.0
1516,-7.0
1517,-7.0
1518,-7.0
1519,-7.0
1520,-7.0
1521,-7.0
1522,-7.0
1523,-7.0
1524,-7.0
1525,-7.0
1526,-7.0
1527,-7.0
1528,-7.0
1529,-7.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,-7.0
1614,-7.0
1615,-7.0
1616,-7.0
1617,-7.0
1618,-7.0
1619,-7.0
1620,-7.0
1621,-7.0
1622,-7.0
1623,-7.0
1624,-7.0
1625,-7.0
1626,-7.0
1627,-7.0
1628,-7.0
1629,-7.0
1630,-7.0
1631,-7.0
1632,-7.0
1633,-7.0
1634,-7.0
1635,-7.0
1636,-7.0
1637,-7.0
1638,-7.0
1639,-7.0
1640,-7.0
1641,-7.0
1642,-7.0
1643,-7.0
1644,-7.0
1645,-7.0
1646,-7.0
1647,-7.0
1648,-7.0
1649,-7.0
1650,-7.0
1651,-7.0
1652,-7.0
1653,-7.0
1654,-7.0
1655,-7.0
1656,-7.0
1657,-7.0
1658,-7.0
1659,-7.0
1660,-7.0
1661,-7.0
1662,-7.0
1663,-7.0
1664,-7.0
1665,-7.0
1666,-7.0
1667,-7.0
1668,-7.0
1669,-7.0
1670,-7.0
1671,-7.0
1672,-7.0
1673,-7.0
1674,-7.0
1675,-7.0
1676,-7.0
1677,-7.0
1678,-7.0
1679,-7.0
1680,-7.0
1681,-7.0
1682,-7.0
1683,-7.0
1684,-7.0
1685,-7.0
1686,-7.0
1687,-7.0
1688,-7.0
1689,-7.0
1690,-7.0
1691,-7.0
1692,-7.0
1693,-7.0
1694,-7.0
1695,-7.0
1696,-7.0
1697,-7.0
1698,-7.0
1699,-7.0
1700,-7.0
1701,-7.0
1702,-7.0
1703,-7.0
1704,-7.0
1705,-7.0
1706,-7.0
1707,-7.0
1708,-7.0
1709,-7.0
1710,-7.0
1711,-7.0
1712,-7.0
1713,-7.0
1714,-7.0
1715,-7.0
1716,-7.0
1717,-7.0
1718,-7.0
1719,-7.0
1720,-7.0
1721,-7.0
1722,-7.0
1723,-7.0
1724,-7.0
1725,-7.0
1726,-7.0
1727,-7.0
1728,-7.0
1729,-7.0
1730,-7.0
1731,-7.0
1732,-7.0
1733,-7.0
1734,-7.0
1735,-7.0
1736,-7.0
1737,-7.0
1738,-7.0
1739,-7.0
1740,-7.0
1741,-7.0
1742,-7.0
1743,-7.0
1744,-7.0
1745,-7.0
1746,-7.0
1747,-7.0
1748,-7.0
1749,-7.0
1750,-7.0
1751,-7.0
1752,-7.0
1753,-7.0
1754,-7.0
1755,-7.0
1756,-7.0
1757,-7.0
1758,-7.0
1759,-7.0
1760,-7.0
1761,-7.0
1762,-7.0
1763,-7.0
1764,-7.0
1765,-7.0
1766,-7.0
1767,-7.0
1768,-7.0
1769,-7.0
1770,-7.0
1771,-7.0
1772,-7.0
1773,-7.0
1774,-7.0
1775,-7.0
1776,-7.0
1777,-7.0
1778,-7.0
1779,-7.0
1780,-7.0
1781,-7.0
1782,-7.0
1783,-7.0
1784,-7.0
1785,-7.0
1786,-7.0
1787,-7.0
1788,-7.0
1789,-7.0
1790,-7.0
1791,-7.0
1792,-7.0
1793,-7.0
1794,-7.0
1795,-7.0
1796,-7.0
1797,-7.0
1798,-7.0
1799,-7.0
1800,-7.0
1801,-7.0
1802,-7.0
1803,-7.0
1804,-7.0
1805,-7.0
1806,-7.0
1807,-7.0
1808,-7.0
1809,-7.0
1810,-7.0
1811,-7.0
1812,-7.0
1813,-7.0
1814,-7.0
1815,-7.0
1816,-7.0
1817,-7.0
1818,-7.0
1819,-7.0
1820,-7.0
1821,-7.0
1822,-7.0
1823,-7.0
1824,-7.0
1825,-7.0
1826,-7.0
1827,-7.0
1828,-7.0
1829,-7.0
1830,-7.0
1831,-7.0
1832,-7.0
1833,-7.0
1834,-7.0
1835,-7.0
1836,-7.0
1837,-7.0
1838,-7.0
1839,-7.0
1840,-7.0
1841,-7.0
1842,-7.0
1843,-7.0
1844,-7.0
1845,-7.0
1846,-7.0
1847,-7.0
1848,-7.0
1849,-7.0
1850,-7.0
1851,-7.0
1852,-7.0
1853,-7.0
1854,-7.0
1855,-7.0
1856,-7.0
1857,-7.0
1858,-7.0
1859,-7.0
1860,-7.0
1861,-7.0
1862,-7.0
1863,-7.0
1864,-7.0
1865,-7.0
1866,-7.0
1867,-7.0
1868,-7.0
1869,-7.0
1870,-7.0
1871,1.0
1872,1.0
1873,1.0
1874,1.0
1875,1.0
1876,1.0
1877,1.0
1878,1.0
1879,1.0
1880,1.0
1881,1.0
1882,1.0
1883,1.0
1884,1.0
1885,1.0
1886,1.0
1887,1.0
1888,1.0
1889,1.0
1890,1.0
1891,-7.0
1892,-7.0
1893,-7.0
1894,-7.0
1895,-7.0
1896,-7.0
1897,-7.0
1898,-7.0
1899,-7.0
1900,-7.0
1901,-7.0
1902,-7.0
1903,-7.0
1904,-7.0
1905,-7.0
1906,-7.0
1907,-7.0
1908,-7.0
1909,-7.0
1910,-7.0
1911,-7.0
1912,-7.0
1913,-7.0
1914,-7.0
1915,-7.0
1916,-7.0
1917,-7.0
1918,-7.0
1919,-7.0
1920,-7.0
1921,-7.0
1922,-7.0
1923,-7.0
1924,-7.0
1925,-7.0
1926,-7.0
1927,-7.0
1928,-7.0
1929,-7.0
1930,-7.0
1931,-7.0
1932,-7.0
1933,-7.0
1934,-7.0
1935,-7.0
1936,-7.0
1937,-7.0
1938,-7.0
1939,-7.0
1940,-7.0
1941,-7.0
1942,-7.0
1943,-7.0
1944,-7.0
1945,-7.0
1946,-7.0
1947,-7.0
1948,-7.0
1949,-7.0
1950,-7.0
1951,-7.0
1952,-7.0
1953,-7.0
1954,-7.0
1955,-7.0
1956,-7.0
1957,-7.0
1958,-7.0
1959,-7.0
1960,-7.0
1961,-7.0
1962,-7.0
1963,-7.0
1964,-7.0
1965,-7.0
1966,-7.0
1967,-7.0
1968,-7.0
1969,-7.0
1970,-7.0
1971,-7.0
1972,-7.0
1973,-7.0
1974,-7.0
1975,-7.0
1976,-7.0
1977,-7.0
1978,-7.0
1979,-7.0
1980,-7.0
1981,-7.0
1982,-7.0
1983,-7.0
1984,-7.0
1985,-7.0
1986,-7.0
1987,-7.0
1988,-7.0
1989,-7.0
1990,-7.0
1991,-7.0
1992,-7.0
1993,-7.0
1994,-7.0
1995,-7.0
1996,-7.0
1997,-7.0
1998,-7.0
1999,-7.0
2000,-7.0
2001,-7.0
2002,-7.0
2003,-7.0
2004,-7.0
2005,-7.0
2006,-7.0
2007,-7.0
2008,-7.0
2009,-7.0
2010,-7.0
2011,-7.0
2012,-7.0
2013,-7.0
2014,-7.0
2015,-7.0
2016,-7.0
2017,-7.0
2018,-7.0
2019,-7.0
2020,-7.0
2021,-7.0
2022,-7.0
2023,-7.0
2024,-7.0
2025,-7.0
2026,-7.0
2027,-7.0
2028,-7.0
2029,-7.0
2030,-7.0
2031,-7.0
2032,-7.0
2033,-7.0
2034,-7.0
2035,-7.0
