,PATCODE
276,59.0
277,60.0
278,61.0
279,62.0
280,63.0
281,64.0
282,65.0
283,66.0
284,67.0
285,68.0
286,69.0
287,70.0
288,71.0
289,72.0
290,73.0
291,74.0
292,75.0
293,76.0
294,77.0
295,78.0
296,79.0
297,80.0
298,81.0
299,82.0
300,83.0
301,84.0
302,85.0
303,86.0
304,87.0
305,88.0
306,89.0
307,90.0
308,91.0
309,92.0
310,1.0
311,2.0
312,3.0
313,4.0
314,5.0
315,6.0
316,7.0
317,8.0
318,9.0
319,10.0
320,11.0
321,12.0
322,13.0
323,14.0
324,15.0
325,16.0
326,17.0
327,18.0
328,19.0
329,20.0
330,21.0
331,22.0
332,23.0
333,24.0
334,25.0
335,26.0
336,27.0
337,28.0
338,29.0
339,30.0
340,31.0
341,32.0
342,33.0
343,34.0
344,35.0
345,36.0
346,37.0
347,38.0
348,39.0
349,40.0
350,41.0
351,42.0
352,43.0
353,44.0
354,45.0
355,46.0
356,47.0
357,48.0
358,49.0
359,50.0
360,51.0
361,52.0
362,53.0
363,54.0
364,55.0
365,56.0
366,57.0
367,58.0
368,59.0
369,60.0
370,61.0
371,62.0
372,63.0
373,64.0
374,65.0
375,66.0
376,67.0
377,68.0
378,69.0
379,70.0
380,71.0
381,72.0
382,1.0
383,2.0
384,3.0
385,4.0
386,5.0
387,6.0
388,7.0
389,8.0
390,9.0
391,10.0
392,11.0
393,12.0
394,13.0
395,14.0
396,15.0
397,16.0
398,17.0
399,18.0
400,19.0
401,20.0
402,21.0
403,22.0
404,23.0
405,24.0
406,25.0
407,26.0
408,27.0
409,28.0
410,29.0
411,30.0
412,31.0
413,32.0
414,33.0
415,34.0
416,35.0
417,36.0
418,37.0
419,38.0
420,39.0
421,40.0
422,41.0
423,42.0
424,43.0
425,44.0
426,45.0
427,46.0
428,47.0
429,48.0
430,49.0
431,50.0
432,51.0
433,52.0
434,53.0
435,54.0
436,55.0
437,56.0
438,57.0
439,58.0
440,59.0
441,60.0
442,61.0
443,62.0
444,63.0
445,64.0
446,65.0
447,66.0
448,67.0
449,68.0
450,69.0
451,70.0
452,71.0
453,72.0
454,73.0
455,74.0
456,75.0
457,76.0
458,77.0
459,78.0
460,79.0
461,80.0
462,81.0
463,82.0
464,83.0
465,84.0
466,85.0
467,86.0
468,87.0
469,88.0
470,89.0
471,90.0
472,91.0
473,92.0
474,93.0
475,94.0
476,95.0
477,96.0
478,97.0
479,98.0
480,99.0
481,100.0
482,101.0
483,102.0
484,103.0
485,104.0
486,105.0
487,106.0
488,107.0
489,108.0
490,109.0
491,110.0
492,111.0
493,112.0
494,113.0
495,114.0
496,115.0
497,116.0
498,117.0
499,118.0
500,119.0
501,120.0
502,121.0
503,122.0
504,123.0
505,124.0
506,125.0
507,126.0
508,127.0
509,128.0
510,129.0
511,130.0
512,131.0
513,132.0
514,133.0
515,134.0
516,135.0
517,136.0
518,137.0
519,138.0
520,139.0
521,140.0
522,141.0
523,142.0
524,143.0
525,144.0
526,145.0
527,146.0
528,147.0
529,148.0
530,149.0
531,150.0
532,151.0
533,152.0
534,153.0
535,154.0
536,1.0
537,2.0
538,3.0
539,4.0
540,5.0
541,6.0
542,7.0
543,8.0
544,9.0
545,10.0
546,11.0
547,12.0
548,13.0
549,14.0
550,15.0
551,16.0
552,17.0
553,18.0
554,19.0
555,20.0
556,21.0
557,22.0
558,23.0
559,24.0
560,25.0
561,26.0
562,27.0
563,28.0
564,29.0
565,30.0
566,31.0
567,32.0
568,33.0
569,34.0
570,35.0
571,36.0
572,37.0
573,38.0
574,39.0
575,40.0
576,41.0
577,42.0
578,43.0
579,44.0
580,45.0
581,46.0
582,47.0
583,48.0
584,49.0
585,50.0
586,51.0
587,52.0
588,53.0
589,54.0
590,55.0
591,56.0
592,57.0
593,58.0
594,59.0
595,60.0
596,61.0
597,62.0
598,63.0
599,64.0
600,65.0
601,66.0
602,67.0
603,68.0
604,69.0
605,70.0
606,71.0
607,72.0
608,73.0
609,74.0
610,75.0
611,76.0
612,77.0
613,78.0
614,79.0
615,80.0
616,81.0
617,82.0
618,83.0
619,84.0
620,85.0
621,86.0
622,87.0
623,88.0
624,89.0
625,90.0
626,91.0
627,92.0
628,93.0
629,94.0
630,95.0
631,96.0
632,97.0
633,98.0
634,99.0
635,100.0
636,101.0
637,102.0
638,103.0
639,104.0
640,105.0
641,106.0
642,107.0
643,108.0
644,109.0
645,110.0
646,111.0
647,112.0
648,113.0
649,114.0
650,115.0
651,116.0
652,117.0
653,118.0
654,119.0
655,120.0
656,121.0
657,122.0
658,1.0
659,2.0
660,3.0
661,4.0
662,5.0
663,6.0
664,7.0
665,8.0
666,9.0
667,10.0
668,11.0
669,12.0
670,13.0
671,14.0
672,15.0
673,16.0
674,17.0
675,18.0
676,19.0
677,20.0
678,21.0
679,22.0
680,23.0
681,24.0
682,25.0
683,26.0
684,27.0
685,28.0
686,29.0
687,30.0
688,31.0
689,32.0
690,33.0
691,34.0
692,35.0
693,36.0
694,37.0
695,38.0
696,39.0
697,40.0
698,41.0
699,42.0
700,43.0
701,44.0
702,45.0
703,46.0
704,47.0
705,48.0
706,49.0
707,50.0
708,51.0
709,52.0
710,53.0
711,54.0
712,55.0
713,56.0
714,57.0
715,58.0
716,59.0
717,60.0
718,61.0
719,62.0
720,63.0
721,64.0
722,65.0
723,66.0
724,67.0
725,68.0
726,69.0
727,70.0
728,71.0
729,72.0
730,73.0
731,74.0
732,75.0
733,76.0
734,77.0
735,78.0
736,79.0
737,80.0
738,81.0
739,82.0
740,83.0
741,84.0
742,85.0
743,86.0
744,87.0
745,88.0
746,89.0
747,90.0
748,91.0
749,92.0
750,93.0
751,94.0
752,95.0
753,96.0
754,97.0
755,98.0
756,99.0
757,100.0
758,101.0
759,102.0
760,103.0
761,104.0
762,105.0
763,106.0
764,107.0
765,108.0
766,109.0
767,110.0
768,111.0
769,112.0
770,113.0
771,114.0
772,115.0
773,116.0
774,1.0
775,2.0
776,3.0
777,4.0
778,5.0
779,6.0
780,7.0
781,8.0
782,9.0
783,10.0
784,11.0
785,12.0
786,13.0
787,14.0
788,15.0
789,16.0
790,17.0
791,18.0
792,19.0
793,20.0
794,21.0
795,22.0
796,23.0
797,24.0
798,25.0
799,26.0
800,27.0
801,28.0
802,29.0
803,30.0
804,31.0
805,32.0
806,33.0
807,34.0
808,35.0
809,36.0
810,37.0
811,38.0
812,39.0
813,40.0
814,41.0
815,42.0
816,43.0
817,44.0
818,45.0
819,46.0
820,47.0
821,48.0
822,49.0
823,50.0
824,51.0
825,52.0
826,53.0
827,54.0
828,55.0
829,56.0
830,57.0
831,58.0
832,59.0
833,60.0
834,61.0
835,62.0
836,63.0
837,64.0
838,65.0
839,66.0
840,67.0
841,68.0
842,69.0
843,70.0
844,71.0
845,72.0
846,73.0
847,74.0
848,75.0
849,76.0
850,77.0
851,78.0
852,79.0
853,80.0
854,81.0
855,1.0
856,2.0
857,3.0
858,4.0
859,5.0
860,6.0
861,7.0
862,8.0
863,9.0
864,10.0
865,11.0
866,12.0
867,13.0
868,14.0
869,15.0
870,16.0
871,17.0
872,18.0
873,19.0
874,20.0
875,21.0
876,22.0
877,1.0
878,2.0
879,3.0
880,4.0
881,5.0
882,6.0
883,7.0
884,8.0
885,9.0
886,10.0
887,11.0
888,12.0
889,13.0
890,14.0
891,15.0
892,16.0
893,17.0
894,18.0
895,19.0
896,20.0
897,21.0
898,22.0
899,23.0
900,24.0
901,25.0
902,26.0
903,27.0
904,28.0
905,29.0
906,30.0
907,31.0
908,32.0
909,33.0
910,34.0
911,35.0
912,36.0
913,37.0
914,38.0
915,39.0
916,40.0
917,41.0
918,42.0
919,43.0
920,44.0
921,45.0
922,46.0
923,47.0
924,48.0
925,49.0
926,50.0
927,51.0
928,52.0
929,53.0
930,54.0
931,55.0
932,56.0
933,57.0
934,58.0
935,59.0
936,60.0
937,61.0
938,62.0
939,63.0
940,64.0
941,65.0
942,66.0
943,67.0
944,68.0
945,69.0
946,70.0
947,71.0
948,72.0
949,73.0
950,74.0
951,75.0
952,76.0
953,77.0
954,78.0
955,79.0
956,80.0
957,81.0
958,82.0
959,83.0
960,84.0
961,85.0
962,86.0
963,87.0
964,88.0
965,89.0
966,90.0
967,91.0
968,92.0
969,93.0
970,94.0
971,95.0
972,96.0
973,97.0
974,98.0
975,99.0
976,100.0
977,101.0
978,102.0
979,103.0
980,104.0
981,105.0
982,106.0
983,107.0
984,108.0
985,109.0
986,110.0
987,111.0
988,112.0
989,113.0
990,114.0
991,115.0
992,116.0
993,117.0
994,118.0
995,119.0
996,120.0
997,121.0
998,1.0
999,2.0
1000,3.0
1001,4.0
1002,5.0
1003,6.0
1004,7.0
1005,8.0
1006,9.0
1007,10.0
1008,11.0
1009,12.0
1010,13.0
1011,14.0
1012,15.0
1013,16.0
1014,17.0
1015,18.0
1016,19.0
1017,20.0
1018,21.0
1019,22.0
1020,23.0
1021,24.0
1022,25.0
1023,26.0
1024,27.0
1025,28.0
1026,29.0
1027,30.0
1028,31.0
1029,32.0
1030,33.0
1031,34.0
1032,35.0
1033,36.0
1034,37.0
1035,38.0
1036,39.0
1037,40.0
1038,41.0
1039,42.0
1040,43.0
1041,44.0
1042,45.0
1043,46.0
1044,47.0
1045,48.0
1046,49.0
1047,50.0
1048,51.0
1049,52.0
1050,53.0
1051,54.0
1052,55.0
1053,56.0
1054,57.0
1055,58.0
1056,59.0
1057,60.0
1058,61.0
1059,62.0
1060,63.0
1061,64.0
1062,65.0
1063,66.0
1064,67.0
1065,68.0
1066,69.0
1067,70.0
1068,71.0
1069,72.0
1070,73.0
1071,74.0
1072,75.0
1073,76.0
1074,77.0
1075,78.0
1076,79.0
1077,1.0
1078,2.0
1079,3.0
1080,4.0
1081,5.0
1082,6.0
1083,7.0
1084,8.0
1085,9.0
1086,10.0
1087,11.0
1088,12.0
1089,13.0
1090,14.0
1091,15.0
1092,16.0
1093,17.0
1094,18.0
1095,19.0
1096,20.0
1097,21.0
1098,22.0
1099,23.0
1100,24.0
1101,25.0
1102,26.0
1103,27.0
1104,28.0
1105,29.0
1106,30.0
1107,31.0
1108,32.0
1109,33.0
1110,34.0
1111,35.0
1112,36.0
1113,37.0
1114,38.0
1115,39.0
1116,40.0
1117,41.0
1118,42.0
1119,43.0
1120,44.0
1121,45.0
1122,46.0
1123,47.0
1124,48.0
1125,49.0
1126,50.0
1127,51.0
1128,52.0
1129,53.0
1130,54.0
1131,55.0
1132,56.0
1133,57.0
1134,58.0
1135,59.0
1136,60.0
1137,61.0
1138,62.0
1139,63.0
1140,64.0
1141,65.0
1142,66.0
1143,67.0
1144,68.0
1145,69.0
1146,70.0
1147,1.0
1148,2.0
1149,3.0
1150,4.0
1151,5.0
1152,6.0
1153,7.0
1154,8.0
1155,9.0
1156,10.0
1157,11.0
1158,12.0
1159,13.0
1160,14.0
1161,15.0
1162,16.0
1163,17.0
1164,18.0
1165,19.0
1166,20.0
1167,21.0
1168,22.0
1169,23.0
1170,24.0
1171,25.0
1172,26.0
1173,27.0
1174,28.0
1175,29.0
1176,30.0
1177,31.0
1178,32.0
1179,33.0
1180,34.0
1181,35.0
1182,36.0
1183,37.0
1184,38.0
1185,39.0
1186,40.0
1187,41.0
1188,42.0
1189,43.0
1190,44.0
1191,45.0
1192,46.0
1193,47.0
1194,48.0
1195,49.0
1196,50.0
1197,51.0
1198,52.0
1199,53.0
1200,54.0
1201,55.0
1202,56.0
1203,57.0
1204,58.0
1205,59.0
1206,60.0
1207,61.0
1208,62.0
1209,63.0
1210,64.0
1211,65.0
1212,66.0
1213,67.0
1214,68.0
1215,69.0
1216,70.0
1217,71.0
1218,72.0
1219,73.0
1220,1.0
1221,2.0
1222,3.0
1223,4.0
1224,5.0
1225,6.0
1226,7.0
1227,8.0
1228,9.0
1229,10.0
1230,11.0
1231,12.0
1232,13.0
1233,14.0
1234,15.0
1235,16.0
1236,17.0
1237,18.0
1238,19.0
1239,20.0
1240,21.0
1241,22.0
1242,23.0
1243,24.0
1244,25.0
1245,26.0
1246,27.0
1247,28.0
1248,29.0
1249,30.0
1250,31.0
1251,32.0
1252,33.0
1253,34.0
1254,35.0
1255,36.0
1256,37.0
1257,38.0
1258,39.0
1259,40.0
1260,41.0
1261,42.0
1262,43.0
1263,44.0
1264,45.0
1265,46.0
1266,47.0
1267,48.0
1268,49.0
1269,50.0
1270,51.0
1271,52.0
1272,53.0
1273,54.0
1274,55.0
1275,56.0
1276,57.0
1277,58.0
1278,59.0
1279,60.0
1280,61.0
1281,62.0
1282,63.0
1283,64.0
1284,65.0
1285,66.0
1286,67.0
1287,68.0
1288,69.0
1289,70.0
1290,71.0
1291,72.0
1292,73.0
1293,74.0
1294,75.0
1295,76.0
1296,77.0
1297,78.0
1298,79.0
1299,80.0
1300,81.0
1301,82.0
1302,83.0
1303,84.0
1304,85.0
1305,86.0
1306,87.0
1307,88.0
1308,89.0
1309,90.0
1310,91.0
1311,92.0
1312,93.0
1313,94.0
1314,95.0
1315,96.0
1316,97.0
1317,98.0
1318,99.0
1319,100.0
1320,101.0
1321,102.0
1322,103.0
1323,104.0
1324,105.0
1325,106.0
1326,107.0
1327,108.0
1328,109.0
1329,110.0
1330,1.0
1331,2.0
1332,3.0
1333,4.0
1334,5.0
1335,6.0
1336,7.0
1337,8.0
1338,9.0
1339,10.0
1340,11.0
1341,12.0
1342,13.0
1343,14.0
1344,15.0
1345,16.0
1346,17.0
1347,18.0
1348,19.0
1349,20.0
1350,21.0
1351,22.0
1352,23.0
1353,24.0
1354,25.0
1355,26.0
1356,27.0
1357,28.0
1358,29.0
1359,30.0
1360,31.0
1361,32.0
1362,33.0
1363,34.0
1364,35.0
1365,36.0
1366,37.0
1367,38.0
1368,39.0
1369,40.0
1370,41.0
1371,42.0
1372,43.0
1373,44.0
1374,45.0
1375,46.0
1376,47.0
1377,48.0
1378,49.0
1379,50.0
1380,51.0
1381,52.0
1382,53.0
1383,54.0
1384,55.0
1385,56.0
1386,57.0
1387,58.0
1388,59.0
1389,60.0
1390,61.0
1391,62.0
1392,63.0
1393,64.0
1394,65.0
1395,66.0
1396,67.0
1397,68.0
1398,69.0
1399,70.0
1400,71.0
1401,72.0
1402,73.0
1403,74.0
1404,75.0
1405,76.0
1406,77.0
1407,78.0
1408,79.0
1409,80.0
1410,81.0
1411,1.0
1412,2.0
1413,3.0
1414,4.0
1415,5.0
1416,6.0
1417,7.0
1418,8.0
1419,1.0
1420,2.0
1421,3.0
1422,4.0
1423,5.0
1424,6.0
1425,7.0
1426,8.0
1427,9.0
1428,10.0
1429,11.0
1430,12.0
1431,13.0
1432,14.0
1433,15.0
1434,16.0
1435,17.0
1436,18.0
1437,19.0
1438,20.0
1439,21.0
1440,22.0
1441,23.0
1442,24.0
1443,25.0
1444,26.0
1445,27.0
1446,28.0
1447,29.0
1448,30.0
1449,31.0
1450,32.0
1451,33.0
1452,34.0
1453,35.0
1454,36.0
1455,37.0
1456,38.0
1457,39.0
1458,40.0
1459,41.0
1460,42.0
1461,43.0
1462,44.0
1463,45.0
1464,46.0
1465,47.0
1466,48.0
1467,49.0
1468,50.0
1469,51.0
1470,52.0
1471,53.0
1472,54.0
1473,55.0
1474,56.0
1475,57.0
1476,58.0
1477,59.0
1478,60.0
1479,61.0
1480,62.0
1481,63.0
1482,64.0
1483,65.0
1484,66.0
1485,67.0
1486,68.0
1487,69.0
1488,70.0
1489,71.0
1490,72.0
1491,73.0
1492,74.0
1493,75.0
1494,76.0
1495,77.0
1496,78.0
1497,79.0
1498,80.0
1499,81.0
1500,82.0
1501,83.0
1502,84.0
1503,85.0
1504,86.0
1505,87.0
1506,88.0
1507,89.0
1508,90.0
1509,91.0
1510,92.0
1511,93.0
1512,94.0
1513,95.0
1514,96.0
1515,97.0
1516,98.0
1517,99.0
1518,100.0
1519,101.0
1520,102.0
1521,103.0
1522,104.0
1523,105.0
1524,106.0
1525,107.0
1526,108.0
1527,109.0
1528,110.0
1529,111.0
1530,1.0
1531,2.0
1532,3.0
1533,4.0
1534,5.0
1535,6.0
1536,1.0
1537,2.0
1538,3.0
1539,4.0
1540,5.0
1541,6.0
1542,7.0
1543,8.0
1544,9.0
1545,10.0
1546,11.0
1547,12.0
1548,13.0
1549,14.0
1550,15.0
1551,16.0
1552,17.0
1553,18.0
1554,19.0
1555,20.0
1556,21.0
1557,22.0
1558,23.0
1559,24.0
1560,25.0
1561,26.0
1562,27.0
1563,28.0
1564,29.0
1565,30.0
1566,31.0
1567,32.0
1568,33.0
1569,34.0
1570,35.0
1571,36.0
1572,37.0
1573,38.0
1574,39.0
1575,40.0
1576,41.0
1577,42.0
1578,43.0
1579,44.0
1580,45.0
1581,46.0
1582,47.0
1583,48.0
1584,49.0
1585,50.0
1586,51.0
1587,52.0
1588,53.0
1589,54.0
1590,55.0
1591,56.0
1592,57.0
1593,58.0
1594,59.0
1595,60.0
1596,61.0
1597,62.0
1598,63.0
1599,64.0
1600,65.0
1601,66.0
1602,67.0
1603,68.0
1604,69.0
1605,70.0
1606,71.0
1607,72.0
1608,73.0
1609,74.0
1610,75.0
1611,76.0
1612,77.0
1613,1.0
1614,2.0
1615,3.0
1616,4.0
1617,5.0
1618,6.0
1619,7.0
1620,8.0
1621,9.0
1622,10.0
1623,11.0
1624,12.0
1625,13.0
1626,14.0
1627,15.0
1628,16.0
1629,17.0
1630,18.0
1631,19.0
1632,20.0
1633,21.0
1634,22.0
1635,23.0
1636,24.0
1637,25.0
1638,26.0
1639,27.0
1640,28.0
1641,29.0
1642,30.0
1643,31.0
1644,32.0
1645,33.0
1646,34.0
1647,35.0
1648,36.0
1649,37.0
1650,38.0
1651,39.0
1652,40.0
1653,41.0
1654,42.0
1655,43.0
1656,44.0
1657,45.0
1658,46.0
1659,47.0
1660,48.0
1661,49.0
1662,50.0
1663,51.0
1664,52.0
1665,53.0
1666,54.0
1667,55.0
1668,56.0
1669,57.0
1670,58.0
1671,59.0
1672,60.0
1673,61.0
1674,62.0
1675,63.0
1676,64.0
1677,65.0
1678,66.0
1679,67.0
1680,68.0
1681,69.0
1682,70.0
1683,71.0
1684,72.0
1685,73.0
1686,74.0
1687,75.0
1688,76.0
1689,77.0
1690,78.0
1691,79.0
1692,80.0
1693,81.0
1694,82.0
1695,83.0
1696,84.0
1697,85.0
1698,86.0
1699,87.0
1700,88.0
1701,89.0
1702,90.0
1703,91.0
1704,92.0
1705,93.0
1706,94.0
1707,95.0
1708,96.0
1709,97.0
1710,98.0
1711,1.0
1712,2.0
1713,3.0
1714,4.0
1715,5.0
1716,6.0
1717,7.0
1718,8.0
1719,9.0
1720,10.0
1721,11.0
1722,12.0
1723,13.0
1724,14.0
1725,15.0
1726,16.0
1727,17.0
1728,18.0
1729,19.0
1730,20.0
1731,21.0
1732,22.0
1733,23.0
1734,24.0
1735,25.0
1736,26.0
1737,27.0
1738,28.0
1739,29.0
1740,30.0
1741,31.0
1742,32.0
1743,33.0
1744,34.0
1745,35.0
1746,36.0
1747,37.0
1748,38.0
1749,39.0
1750,40.0
1751,41.0
1752,42.0
1753,43.0
1754,44.0
1755,45.0
1756,46.0
1757,47.0
1758,48.0
1759,49.0
1760,50.0
1761,51.0
1762,52.0
1763,53.0
1764,54.0
1765,55.0
1766,56.0
1767,57.0
1768,58.0
1769,59.0
1770,60.0
1771,61.0
1772,62.0
1773,63.0
1774,64.0
1775,65.0
1776,66.0
1777,67.0
1778,68.0
1779,69.0
1780,70.0
1781,71.0
1782,72.0
1783,73.0
1784,74.0
1785,75.0
1786,76.0
1787,77.0
1788,78.0
1789,79.0
1790,80.0
1791,81.0
1792,82.0
1793,83.0
1794,84.0
1795,85.0
1796,86.0
1797,87.0
1798,88.0
1799,89.0
1800,90.0
1801,91.0
1802,92.0
1803,93.0
1804,94.0
1805,95.0
1806,96.0
1807,97.0
1808,98.0
1809,99.0
1810,100.0
1811,101.0
1812,102.0
1813,103.0
1814,104.0
1815,105.0
1816,106.0
1817,107.0
1818,108.0
1819,109.0
1820,110.0
1821,111.0
1822,112.0
1823,113.0
1824,114.0
1825,115.0
1826,116.0
1827,117.0
1828,1.0
1829,2.0
1830,3.0
1831,4.0
1832,5.0
1833,6.0
1834,7.0
1835,8.0
1836,9.0
1837,10.0
1838,11.0
1839,12.0
1840,13.0
1841,14.0
1842,15.0
1843,16.0
1844,17.0
1845,18.0
1846,19.0
1847,20.0
1848,21.0
1849,22.0
1850,23.0
1851,24.0
1852,25.0
1853,26.0
1854,27.0
1855,28.0
1856,29.0
1857,30.0
1858,31.0
1859,32.0
1860,33.0
1861,34.0
1862,35.0
1863,36.0
1864,37.0
1865,38.0
1866,39.0
1867,40.0
1868,41.0
1869,42.0
1870,43.0
1871,1.0
1872,2.0
1873,3.0
1874,4.0
1875,5.0
1876,6.0
1877,7.0
1878,8.0
1879,9.0
1880,10.0
1881,11.0
1882,12.0
1883,13.0
1884,14.0
1885,15.0
1886,16.0
1887,17.0
1888,18.0
1889,19.0
1890,20.0
1891,1.0
1892,2.0
1893,3.0
1894,4.0
1895,5.0
1896,6.0
1897,7.0
1898,8.0
1899,9.0
1900,10.0
1901,11.0
1902,12.0
1903,13.0
1904,14.0
1905,15.0
1906,16.0
1907,17.0
1908,18.0
1909,19.0
1910,20.0
1911,21.0
1912,22.0
1913,23.0
1914,24.0
1915,25.0
1916,26.0
1917,27.0
1918,28.0
1919,29.0
1920,30.0
1921,31.0
1922,32.0
1923,33.0
1924,34.0
1925,35.0
1926,36.0
1927,37.0
1928,38.0
1929,39.0
1930,40.0
1931,41.0
1932,42.0
1933,43.0
1934,44.0
1935,45.0
1936,46.0
1937,47.0
1938,48.0
1939,49.0
1940,50.0
1941,51.0
1942,52.0
1943,53.0
1944,54.0
1945,55.0
1946,56.0
1947,57.0
1948,58.0
1949,59.0
1950,60.0
1951,61.0
1952,62.0
1953,63.0
1954,64.0
1955,65.0
1956,66.0
1957,67.0
1958,68.0
1959,69.0
1960,70.0
1961,71.0
1962,72.0
1963,73.0
1964,74.0
1965,75.0
1966,76.0
1967,77.0
1968,78.0
1969,79.0
1970,80.0
1971,81.0
1972,82.0
1973,83.0
1974,84.0
1975,85.0
1976,86.0
1977,87.0
1978,88.0
1979,89.0
1980,90.0
1981,91.0
1982,92.0
1983,93.0
1984,94.0
1985,95.0
1986,96.0
1987,97.0
1988,98.0
1989,99.0
1990,100.0
1991,101.0
1992,102.0
1993,103.0
1994,104.0
1995,105.0
1996,106.0
1997,107.0
1998,108.0
1999,109.0
2000,110.0
2001,111.0
2002,112.0
2003,1.0
2004,2.0
2005,3.0
2006,4.0
2007,5.0
2008,6.0
2009,7.0
2010,8.0
2011,9.0
2012,10.0
2013,11.0
2014,12.0
2015,13.0
2016,14.0
2017,15.0
2018,16.0
2019,17.0
2020,18.0
2021,19.0
2022,20.0
2023,21.0
2024,22.0
2025,23.0
2026,24.0
2027,25.0
2028,26.0
2029,27.0
2030,28.0
2031,29.0
2032,30.0
2033,31.0
2034,32.0
2035,33.0
2036,34.0
2037,35.0
2038,36.0
2039,37.0
2040,38.0
2041,39.0
2042,40.0
2043,41.0
2044,42.0
2045,43.0
2046,44.0
2047,45.0
2048,46.0
2049,47.0
2050,48.0
2051,49.0
2052,50.0
2053,51.0
2054,52.0
2055,53.0
2056,54.0
2057,55.0
2058,56.0
2059,1.0
2060,2.0
2061,3.0
2062,4.0
2063,5.0
2064,6.0
2065,7.0
2066,8.0
2067,9.0
2068,10.0
2069,11.0
2070,12.0
2071,13.0
2072,14.0
2073,15.0
2074,16.0
2075,17.0
2076,18.0
2077,19.0
2078,20.0
2079,21.0
2080,22.0
2081,23.0
2082,24.0
2083,25.0
2084,26.0
2085,27.0
2086,28.0
2087,29.0
2088,30.0
2089,31.0
2090,32.0
2091,33.0
2092,34.0
2093,35.0
2094,36.0
2095,37.0
2096,38.0
2097,39.0
2098,40.0
2099,41.0
2100,42.0
2101,43.0
2102,44.0
2103,45.0
2104,46.0
2105,47.0
2106,48.0
2107,49.0
2108,50.0
2109,51.0
2110,52.0
2111,53.0
2112,54.0
2113,55.0
2114,56.0
2115,57.0
2116,58.0
2117,59.0
2118,60.0
2119,61.0
2120,62.0
2121,63.0
2122,64.0
2123,65.0
2124,66.0
2125,67.0
2126,68.0
2127,69.0
2128,70.0
2129,71.0
2130,72.0
2131,73.0
2132,74.0
2133,75.0
2134,76.0
2135,77.0
2136,78.0
2137,79.0
2138,80.0
2139,81.0
