,HOSPCODE
208,2.0
209,2.0
210,2.0
211,2.0
212,2.0
213,2.0
214,2.0
215,2.0
216,2.0
217,2.0
218,3.0
219,3.0
220,3.0
221,3.0
222,3.0
223,3.0
224,3.0
225,3.0
226,3.0
227,3.0
228,3.0
229,3.0
230,3.0
231,3.0
232,3.0
233,3.0
234,3.0
235,3.0
236,3.0
237,3.0
238,3.0
239,3.0
240,3.0
241,3.0
242,3.0
243,3.0
244,3.0
245,3.0
246,3.0
247,3.0
248,3.0
249,3.0
250,3.0
251,3.0
252,3.0
253,3.0
254,3.0
255,3.0
256,3.0
257,3.0
258,3.0
259,3.0
260,3.0
261,3.0
262,3.0
263,3.0
264,3.0
265,3.0
266,3.0
267,3.0
268,3.0
269,3.0
270,3.0
271,3.0
272,3.0
273,3.0
274,3.0
275,3.0
276,3.0
277,3.0
278,3.0
279,3.0
280,3.0
281,3.0
282,3.0
283,3.0
284,3.0
285,3.0
286,3.0
287,3.0
288,3.0
289,3.0
290,3.0
291,3.0
292,3.0
293,3.0
294,3.0
295,3.0
296,3.0
297,3.0
298,3.0
299,3.0
300,3.0
301,3.0
302,3.0
303,3.0
304,3.0
305,3.0
306,3.0
307,3.0
308,3.0
309,3.0
310,4.0
311,4.0
312,4.0
313,4.0
314,4.0
315,4.0
316,4.0
317,4.0
318,4.0
319,4.0
320,4.0
321,4.0
322,4.0
323,4.0
324,4.0
325,4.0
326,4.0
327,4.0
328,4.0
329,4.0
330,4.0
331,4.0
332,4.0
333,4.0
334,4.0
335,4.0
336,4.0
337,4.0
338,4.0
339,4.0
340,4.0
341,4.0
342,4.0
343,4.0
344,4.0
345,4.0
346,4.0
347,4.0
348,4.0
349,4.0
350,4.0
351,4.0
352,4.0
353,4.0
354,4.0
355,4.0
356,4.0
357,4.0
358,4.0
359,4.0
360,4.0
361,4.0
362,4.0
363,4.0
364,4.0
365,4.0
366,4.0
367,4.0
368,4.0
369,4.0
370,4.0
371,4.0
372,4.0
373,4.0
374,4.0
375,4.0
376,4.0
377,4.0
378,4.0
379,4.0
380,4.0
381,4.0
382,5.0
383,5.0
384,5.0
385,5.0
386,5.0
387,5.0
388,5.0
389,5.0
390,5.0
391,5.0
392,5.0
393,5.0
394,5.0
395,5.0
396,5.0
397,5.0
398,5.0
399,5.0
400,5.0
401,5.0
402,5.0
403,5.0
404,5.0
405,5.0
406,5.0
407,5.0
408,5.0
409,5.0
410,5.0
411,5.0
412,5.0
413,5.0
414,5.0
415,5.0
416,5.0
417,5.0
418,5.0
419,5.0
420,5.0
421,5.0
422,5.0
423,5.0
424,5.0
425,5.0
426,5.0
427,5.0
428,5.0
429,5.0
430,5.0
431,5.0
432,5.0
433,5.0
434,5.0
435,5.0
436,5.0
437,5.0
438,5.0
439,5.0
440,5.0
441,5.0
442,5.0
443,5.0
444,5.0
445,5.0
446,5.0
447,5.0
448,5.0
449,5.0
450,5.0
451,5.0
452,5.0
453,5.0
454,5.0
455,5.0
456,5.0
457,5.0
458,5.0
459,5.0
460,5.0
461,5.0
462,5.0
463,5.0
464,5.0
465,5.0
466,5.0
467,5.0
468,5.0
469,5.0
470,5.0
471,5.0
472,5.0
473,5.0
474,5.0
475,5.0
476,5.0
477,5.0
478,5.0
479,5.0
480,5.0
481,5.0
482,5.0
483,5.0
484,5.0
485,5.0
486,5.0
487,5.0
488,5.0
489,5.0
490,5.0
491,5.0
492,5.0
493,5.0
494,5.0
495,5.0
496,5.0
497,5.0
498,5.0
499,5.0
500,5.0
501,5.0
502,5.0
503,5.0
504,5.0
505,5.0
506,5.0
507,5.0
508,5.0
509,5.0
510,5.0
511,5.0
512,5.0
513,5.0
514,5.0
515,5.0
516,5.0
517,5.0
518,5.0
519,5.0
520,5.0
521,5.0
522,5.0
523,5.0
524,5.0
525,5.0
526,5.0
527,5.0
528,5.0
529,5.0
530,5.0
531,5.0
532,5.0
533,5.0
534,5.0
535,5.0
536,6.0
537,6.0
538,6.0
539,6.0
540,6.0
541,6.0
542,6.0
543,6.0
544,6.0
545,6.0
546,6.0
547,6.0
548,6.0
549,6.0
550,6.0
551,6.0
552,6.0
553,6.0
554,6.0
555,6.0
556,6.0
557,6.0
558,6.0
559,6.0
560,6.0
561,6.0
562,6.0
563,6.0
564,6.0
565,6.0
566,6.0
567,6.0
568,6.0
569,6.0
570,6.0
571,6.0
572,6.0
573,6.0
574,6.0
575,6.0
576,6.0
577,6.0
578,6.0
579,6.0
580,6.0
581,6.0
582,6.0
583,6.0
584,6.0
585,6.0
586,6.0
587,6.0
588,6.0
589,6.0
590,6.0
591,6.0
592,6.0
593,6.0
594,6.0
595,6.0
596,6.0
597,6.0
598,6.0
599,6.0
600,6.0
601,6.0
602,6.0
603,6.0
604,6.0
605,6.0
606,6.0
607,6.0
608,6.0
609,6.0
610,6.0
611,6.0
612,6.0
613,6.0
614,6.0
615,6.0
616,6.0
617,6.0
618,6.0
619,6.0
620,6.0
621,6.0
622,6.0
623,6.0
624,6.0
625,6.0
626,6.0
627,6.0
628,6.0
629,6.0
630,6.0
631,6.0
632,6.0
633,6.0
634,6.0
635,6.0
636,6.0
637,6.0
638,6.0
639,6.0
640,6.0
641,6.0
642,6.0
643,6.0
644,6.0
645,6.0
646,6.0
647,6.0
648,6.0
649,6.0
650,6.0
651,6.0
652,6.0
653,6.0
654,6.0
655,6.0
656,6.0
657,6.0
658,7.0
659,7.0
660,7.0
661,7.0
662,7.0
663,7.0
664,7.0
665,7.0
666,7.0
667,7.0
668,7.0
669,7.0
670,7.0
671,7.0
672,7.0
673,7.0
674,7.0
675,7.0
676,7.0
677,7.0
678,7.0
679,7.0
680,7.0
681,7.0
682,7.0
683,7.0
684,7.0
685,7.0
686,7.0
687,7.0
688,7.0
689,7.0
690,7.0
691,7.0
692,7.0
693,7.0
694,7.0
695,7.0
696,7.0
697,7.0
698,7.0
699,7.0
700,7.0
701,7.0
702,7.0
703,7.0
704,7.0
705,7.0
706,7.0
707,7.0
708,7.0
709,7.0
710,7.0
711,7.0
712,7.0
713,7.0
714,7.0
715,7.0
716,7.0
717,7.0
718,7.0
719,7.0
720,7.0
721,7.0
722,7.0
723,7.0
724,7.0
725,7.0
726,7.0
727,7.0
728,7.0
729,7.0
730,7.0
731,7.0
732,7.0
733,7.0
734,7.0
735,7.0
736,7.0
737,7.0
738,7.0
739,7.0
740,7.0
741,7.0
742,7.0
743,7.0
744,7.0
745,7.0
746,7.0
747,7.0
748,7.0
749,7.0
750,7.0
751,7.0
752,7.0
753,7.0
754,7.0
755,7.0
756,7.0
757,7.0
758,7.0
759,7.0
760,7.0
761,7.0
762,7.0
763,7.0
764,7.0
765,7.0
766,7.0
767,7.0
768,7.0
769,7.0
770,7.0
771,7.0
772,7.0
773,7.0
774,8.0
775,8.0
776,8.0
777,8.0
778,8.0
779,8.0
780,8.0
781,8.0
782,8.0
783,8.0
784,8.0
785,8.0
786,8.0
787,8.0
788,8.0
789,8.0
790,8.0
791,8.0
792,8.0
793,8.0
794,8.0
795,8.0
796,8.0
797,8.0
798,8.0
799,8.0
800,8.0
801,8.0
802,8.0
803,8.0
804,8.0
805,8.0
806,8.0
807,8.0
808,8.0
809,8.0
810,8.0
811,8.0
812,8.0
813,8.0
814,8.0
815,8.0
816,8.0
817,8.0
818,8.0
819,8.0
820,8.0
821,8.0
822,8.0
823,8.0
824,8.0
825,8.0
826,8.0
827,8.0
828,8.0
829,8.0
830,8.0
831,8.0
832,8.0
833,8.0
834,8.0
835,8.0
836,8.0
837,8.0
838,8.0
839,8.0
840,8.0
841,8.0
842,8.0
843,8.0
844,8.0
845,8.0
846,8.0
847,8.0
848,8.0
849,8.0
850,8.0
851,8.0
852,8.0
853,8.0
854,8.0
855,9.0
856,9.0
857,9.0
858,9.0
859,9.0
860,9.0
861,9.0
862,9.0
863,9.0
864,9.0
865,9.0
866,9.0
867,9.0
868,9.0
869,9.0
870,9.0
871,9.0
872,9.0
873,9.0
874,9.0
875,9.0
876,9.0
877,10.0
878,10.0
879,10.0
880,10.0
881,10.0
882,10.0
883,10.0
884,10.0
885,10.0
886,10.0
887,10.0
888,10.0
889,10.0
890,10.0
891,10.0
892,10.0
893,10.0
894,10.0
895,10.0
896,10.0
897,10.0
898,10.0
899,10.0
900,10.0
901,10.0
902,10.0
903,10.0
904,10.0
905,10.0
906,10.0
907,10.0
908,10.0
909,10.0
910,10.0
911,10.0
912,10.0
913,10.0
914,10.0
915,10.0
916,10.0
917,10.0
918,10.0
919,10.0
920,10.0
921,10.0
922,10.0
923,10.0
924,10.0
925,10.0
926,10.0
927,10.0
928,10.0
929,10.0
930,10.0
931,10.0
932,10.0
933,10.0
934,10.0
935,10.0
936,10.0
937,10.0
938,10.0
939,10.0
940,10.0
941,10.0
942,10.0
943,10.0
944,10.0
945,10.0
946,10.0
947,10.0
948,10.0
949,10.0
950,10.0
951,10.0
952,10.0
953,10.0
954,10.0
955,10.0
956,10.0
957,10.0
958,10.0
959,10.0
960,10.0
961,10.0
962,10.0
963,10.0
964,10.0
965,10.0
966,10.0
967,10.0
968,10.0
969,10.0
970,10.0
971,10.0
972,10.0
973,10.0
974,10.0
975,10.0
976,10.0
977,10.0
978,10.0
979,10.0
980,10.0
981,10.0
982,10.0
983,10.0
984,10.0
985,10.0
986,10.0
987,10.0
988,10.0
989,10.0
990,10.0
991,10.0
992,10.0
993,10.0
994,10.0
995,10.0
996,10.0
997,10.0
998,11.0
999,11.0
1000,11.0
1001,11.0
1002,11.0
1003,11.0
1004,11.0
1005,11.0
1006,11.0
1007,11.0
1008,11.0
1009,11.0
1010,11.0
1011,11.0
1012,11.0
1013,11.0
1014,11.0
1015,11.0
1016,11.0
1017,11.0
1018,11.0
1019,11.0
1020,11.0
1021,11.0
1022,11.0
1023,11.0
1024,11.0
1025,11.0
1026,11.0
1027,11.0
1028,11.0
1029,11.0
1030,11.0
1031,11.0
1032,11.0
1033,11.0
1034,11.0
1035,11.0
1036,11.0
1037,11.0
1038,11.0
1039,11.0
1040,11.0
1041,11.0
1042,11.0
1043,11.0
1044,11.0
1045,11.0
1046,11.0
1047,11.0
1048,11.0
1049,11.0
1050,11.0
1051,11.0
1052,11.0
1053,11.0
1054,11.0
1055,11.0
1056,11.0
1057,11.0
1058,11.0
1059,11.0
1060,11.0
1061,11.0
1062,11.0
1063,11.0
1064,11.0
1065,11.0
1066,11.0
1067,11.0
1068,11.0
1069,11.0
1070,11.0
1071,11.0
1072,11.0
1073,11.0
1074,11.0
1075,11.0
1076,11.0
1077,12.0
1078,12.0
1079,12.0
1080,12.0
1081,12.0
1082,12.0
1083,12.0
1084,12.0
1085,12.0
1086,12.0
1087,12.0
1088,12.0
1089,12.0
1090,12.0
1091,12.0
1092,12.0
1093,12.0
1094,12.0
1095,12.0
1096,12.0
1097,12.0
1098,12.0
1099,12.0
1100,12.0
1101,12.0
1102,12.0
1103,12.0
1104,12.0
1105,12.0
1106,12.0
1107,12.0
1108,12.0
1109,12.0
1110,12.0
1111,12.0
1112,12.0
1113,12.0
1114,12.0
1115,12.0
1116,12.0
1117,12.0
1118,12.0
1119,12.0
1120,12.0
1121,12.0
1122,12.0
1123,12.0
1124,12.0
1125,12.0
1126,12.0
1127,12.0
1128,12.0
1129,12.0
1130,12.0
1131,12.0
1132,12.0
1133,12.0
1134,12.0
1135,12.0
1136,12.0
1137,12.0
1138,12.0
1139,12.0
1140,12.0
1141,12.0
1142,12.0
1143,12.0
1144,12.0
1145,12.0
1146,12.0
1147,13.0
1148,13.0
1149,13.0
1150,13.0
1151,13.0
1152,13.0
1153,13.0
1154,13.0
1155,13.0
1156,13.0
1157,13.0
1158,13.0
1159,13.0
1160,13.0
1161,13.0
1162,13.0
1163,13.0
1164,13.0
1165,13.0
1166,13.0
1167,13.0
1168,13.0
1169,13.0
1170,13.0
1171,13.0
1172,13.0
1173,13.0
1174,13.0
1175,13.0
1176,13.0
1177,13.0
1178,13.0
1179,13.0
1180,13.0
1181,13.0
1182,13.0
1183,13.0
1184,13.0
1185,13.0
1186,13.0
1187,13.0
1188,13.0
1189,13.0
1190,13.0
1191,13.0
1192,13.0
1193,13.0
1194,13.0
1195,13.0
1196,13.0
1197,13.0
1198,13.0
1199,13.0
1200,13.0
1201,13.0
1202,13.0
1203,13.0
1204,13.0
1205,13.0
1206,13.0
1207,13.0
1208,13.0
1209,13.0
1210,13.0
1211,13.0
1212,13.0
1213,13.0
1214,13.0
1215,13.0
1216,13.0
1217,13.0
1218,13.0
1219,13.0
1220,14.0
1221,14.0
1222,14.0
1223,14.0
1224,14.0
1225,14.0
1226,14.0
1227,14.0
1228,14.0
1229,14.0
1230,14.0
1231,14.0
1232,14.0
1233,14.0
1234,14.0
1235,14.0
1236,14.0
1237,14.0
1238,14.0
1239,14.0
1240,14.0
1241,14.0
1242,14.0
1243,14.0
1244,14.0
1245,14.0
1246,14.0
1247,14.0
1248,14.0
1249,14.0
1250,14.0
1251,14.0
1252,14.0
1253,14.0
1254,14.0
1255,14.0
1256,14.0
1257,14.0
1258,14.0
1259,14.0
1260,14.0
1261,14.0
1262,14.0
1263,14.0
1264,14.0
1265,14.0
1266,14.0
1267,14.0
1268,14.0
1269,14.0
1270,14.0
1271,14.0
1272,14.0
1273,14.0
1274,14.0
1275,14.0
1276,14.0
1277,14.0
1278,14.0
1279,14.0
1280,14.0
1281,14.0
1282,14.0
1283,14.0
1284,14.0
1285,14.0
1286,14.0
1287,14.0
1288,14.0
1289,14.0
1290,14.0
1291,14.0
1292,14.0
1293,14.0
1294,14.0
1295,14.0
1296,14.0
1297,14.0
1298,14.0
1299,14.0
1300,14.0
1301,14.0
1302,14.0
1303,14.0
1304,14.0
1305,14.0
1306,14.0
1307,14.0
1308,14.0
1309,14.0
1310,14.0
1311,14.0
1312,14.0
1313,14.0
1314,14.0
1315,14.0
1316,14.0
1317,14.0
1318,14.0
1319,14.0
1320,14.0
1321,14.0
1322,14.0
1323,14.0
1324,14.0
1325,14.0
1326,14.0
1327,14.0
1328,14.0
1329,14.0
1330,15.0
1331,15.0
1332,15.0
1333,15.0
1334,15.0
1335,15.0
1336,15.0
1337,15.0
1338,15.0
1339,15.0
1340,15.0
1341,15.0
1342,15.0
1343,15.0
1344,15.0
1345,15.0
1346,15.0
1347,15.0
1348,15.0
1349,15.0
1350,15.0
1351,15.0
1352,15.0
1353,15.0
1354,15.0
1355,15.0
1356,15.0
1357,15.0
1358,15.0
1359,15.0
1360,15.0
1361,15.0
1362,15.0
1363,15.0
1364,15.0
1365,15.0
1366,15.0
1367,15.0
1368,15.0
1369,15.0
1370,15.0
1371,15.0
1372,15.0
1373,15.0
1374,15.0
1375,15.0
1376,15.0
1377,15.0
1378,15.0
1379,15.0
1380,15.0
1381,15.0
1382,15.0
1383,15.0
1384,15.0
1385,15.0
1386,15.0
1387,15.0
1388,15.0
1389,15.0
1390,15.0
1391,15.0
1392,15.0
1393,15.0
1394,15.0
1395,15.0
1396,15.0
1397,15.0
1398,15.0
1399,15.0
1400,15.0
1401,15.0
1402,15.0
1403,15.0
1404,15.0
1405,15.0
1406,15.0
1407,15.0
1408,15.0
1409,15.0
1410,15.0
1411,16.0
1412,16.0
1413,16.0
1414,16.0
1415,16.0
1416,16.0
1417,16.0
1418,16.0
1419,17.0
1420,17.0
1421,17.0
1422,17.0
1423,17.0
1424,17.0
1425,17.0
1426,17.0
1427,17.0
1428,17.0
1429,17.0
1430,17.0
1431,17.0
1432,17.0
1433,17.0
1434,17.0
1435,17.0
1436,17.0
1437,17.0
1438,17.0
1439,17.0
1440,17.0
1441,17.0
1442,17.0
1443,17.0
1444,17.0
1445,17.0
1446,17.0
1447,17.0
1448,17.0
1449,17.0
1450,17.0
1451,17.0
1452,17.0
1453,17.0
1454,17.0
1455,17.0
1456,17.0
1457,17.0
1458,17.0
1459,17.0
1460,17.0
1461,17.0
1462,17.0
1463,17.0
1464,17.0
1465,17.0
1466,17.0
1467,17.0
1468,17.0
1469,17.0
1470,17.0
1471,17.0
1472,17.0
1473,17.0
1474,17.0
1475,17.0
1476,17.0
1477,17.0
1478,17.0
1479,17.0
1480,17.0
1481,17.0
1482,17.0
1483,17.0
1484,17.0
1485,17.0
1486,17.0
1487,17.0
1488,17.0
1489,17.0
1490,17.0
1491,17.0
1492,17.0
1493,17.0
1494,17.0
1495,17.0
1496,17.0
1497,17.0
1498,17.0
1499,17.0
1500,17.0
1501,17.0
1502,17.0
1503,17.0
1504,17.0
1505,17.0
1506,17.0
1507,17.0
1508,17.0
1509,17.0
1510,17.0
1511,17.0
1512,17.0
1513,17.0
1514,17.0
1515,17.0
1516,17.0
1517,17.0
1518,17.0
1519,17.0
1520,17.0
1521,17.0
1522,17.0
1523,17.0
1524,17.0
1525,17.0
1526,17.0
1527,17.0
1528,17.0
1529,17.0
1530,18.0
1531,18.0
1532,18.0
1533,18.0
1534,18.0
1535,18.0
1536,19.0
1537,19.0
1538,19.0
1539,19.0
1540,19.0
1541,19.0
1542,19.0
1543,19.0
1544,19.0
1545,19.0
1546,19.0
1547,19.0
1548,19.0
1549,19.0
1550,19.0
1551,19.0
1552,19.0
1553,19.0
1554,19.0
1555,19.0
1556,19.0
1557,19.0
1558,19.0
1559,19.0
1560,19.0
1561,19.0
1562,19.0
1563,19.0
1564,19.0
1565,19.0
1566,19.0
1567,19.0
1568,19.0
1569,19.0
1570,19.0
1571,19.0
1572,19.0
1573,19.0
1574,19.0
1575,19.0
1576,19.0
1577,19.0
1578,19.0
1579,19.0
1580,19.0
1581,19.0
1582,19.0
1583,19.0
1584,19.0
1585,19.0
1586,19.0
1587,19.0
1588,19.0
1589,19.0
1590,19.0
1591,19.0
1592,19.0
1593,19.0
1594,19.0
1595,19.0
1596,19.0
1597,19.0
1598,19.0
1599,19.0
1600,19.0
1601,19.0
1602,19.0
1603,19.0
1604,19.0
1605,19.0
1606,19.0
1607,19.0
1608,19.0
1609,19.0
1610,19.0
1611,19.0
1612,19.0
1613,20.0
1614,20.0
1615,20.0
1616,20.0
1617,20.0
1618,20.0
1619,20.0
1620,20.0
1621,20.0
1622,20.0
1623,20.0
1624,20.0
1625,20.0
1626,20.0
1627,20.0
1628,20.0
1629,20.0
1630,20.0
1631,20.0
1632,20.0
1633,20.0
1634,20.0
1635,20.0
1636,20.0
1637,20.0
1638,20.0
1639,20.0
1640,20.0
1641,20.0
1642,20.0
1643,20.0
1644,20.0
1645,20.0
1646,20.0
1647,20.0
1648,20.0
1649,20.0
1650,20.0
1651,20.0
1652,20.0
1653,20.0
1654,20.0
1655,20.0
1656,20.0
1657,20.0
1658,20.0
1659,20.0
1660,20.0
1661,20.0
1662,20.0
1663,20.0
1664,20.0
1665,20.0
1666,20.0
1667,20.0
1668,20.0
1669,20.0
1670,20.0
1671,20.0
1672,20.0
1673,20.0
1674,20.0
1675,20.0
1676,20.0
1677,20.0
1678,20.0
1679,20.0
1680,20.0
1681,20.0
1682,20.0
1683,20.0
1684,20.0
1685,20.0
1686,20.0
1687,20.0
1688,20.0
1689,20.0
1690,20.0
1691,20.0
1692,20.0
1693,20.0
1694,20.0
1695,20.0
1696,20.0
1697,20.0
1698,20.0
1699,20.0
1700,20.0
1701,20.0
1702,20.0
1703,20.0
1704,20.0
1705,20.0
1706,20.0
1707,20.0
1708,20.0
1709,20.0
1710,20.0
1711,21.0
1712,21.0
1713,21.0
1714,21.0
1715,21.0
1716,21.0
1717,21.0
1718,21.0
1719,21.0
1720,21.0
1721,21.0
1722,21.0
1723,21.0
1724,21.0
1725,21.0
1726,21.0
1727,21.0
1728,21.0
1729,21.0
1730,21.0
1731,21.0
1732,21.0
1733,21.0
1734,21.0
1735,21.0
1736,21.0
1737,21.0
1738,21.0
1739,21.0
1740,21.0
1741,21.0
1742,21.0
1743,21.0
1744,21.0
1745,21.0
1746,21.0
1747,21.0
1748,21.0
1749,21.0
1750,21.0
1751,21.0
1752,21.0
1753,21.0
1754,21.0
1755,21.0
1756,21.0
1757,21.0
1758,21.0
1759,21.0
1760,21.0
1761,21.0
1762,21.0
1763,21.0
1764,21.0
1765,21.0
1766,21.0
1767,21.0
1768,21.0
1769,21.0
1770,21.0
1771,21.0
1772,21.0
1773,21.0
1774,21.0
1775,21.0
1776,21.0
1777,21.0
1778,21.0
1779,21.0
1780,21.0
1781,21.0
1782,21.0
1783,21.0
1784,21.0
1785,21.0
1786,21.0
1787,21.0
1788,21.0
1789,21.0
1790,21.0
1791,21.0
1792,21.0
1793,21.0
1794,21.0
1795,21.0
1796,21.0
1797,21.0
1798,21.0
1799,21.0
1800,21.0
1801,21.0
1802,21.0
1803,21.0
1804,21.0
1805,21.0
1806,21.0
1807,21.0
1808,21.0
1809,21.0
1810,21.0
1811,21.0
1812,21.0
1813,21.0
1814,21.0
1815,21.0
1816,21.0
1817,21.0
1818,21.0
1819,21.0
1820,21.0
1821,21.0
1822,21.0
1823,21.0
1824,21.0
1825,21.0
1826,21.0
1827,21.0
1828,22.0
1829,22.0
1830,22.0
1831,22.0
1832,22.0
1833,22.0
1834,22.0
1835,22.0
1836,22.0
1837,22.0
1838,22.0
1839,22.0
1840,22.0
1841,22.0
1842,22.0
1843,22.0
1844,22.0
1845,22.0
1846,22.0
1847,22.0
1848,22.0
1849,22.0
1850,22.0
1851,22.0
1852,22.0
1853,22.0
1854,22.0
1855,22.0
1856,22.0
1857,22.0
1858,22.0
1859,22.0
1860,22.0
1861,22.0
1862,22.0
1863,22.0
1864,22.0
1865,22.0
1866,22.0
1867,22.0
1868,22.0
1869,22.0
1870,22.0
1871,23.0
1872,23.0
1873,23.0
1874,23.0
1875,23.0
1876,23.0
1877,23.0
1878,23.0
1879,23.0
1880,23.0
1881,23.0
1882,23.0
1883,23.0
1884,23.0
1885,23.0
1886,23.0
1887,23.0
1888,23.0
1889,23.0
1890,23.0
1891,24.0
1892,24.0
1893,24.0
1894,24.0
1895,24.0
1896,24.0
1897,24.0
1898,24.0
1899,24.0
1900,24.0
1901,24.0
1902,24.0
1903,24.0
1904,24.0
1905,24.0
1906,24.0
1907,24.0
1908,24.0
1909,24.0
1910,24.0
1911,24.0
1912,24.0
1913,24.0
1914,24.0
1915,24.0
1916,24.0
1917,24.0
1918,24.0
1919,24.0
1920,24.0
1921,24.0
1922,24.0
1923,24.0
1924,24.0
1925,24.0
1926,24.0
1927,24.0
1928,24.0
1929,24.0
1930,24.0
1931,24.0
1932,24.0
1933,24.0
1934,24.0
1935,24.0
1936,24.0
1937,24.0
1938,24.0
1939,24.0
1940,24.0
1941,24.0
1942,24.0
1943,24.0
1944,24.0
1945,24.0
1946,24.0
1947,24.0
1948,24.0
1949,24.0
1950,24.0
1951,24.0
1952,24.0
1953,24.0
1954,24.0
1955,24.0
1956,24.0
1957,24.0
1958,24.0
1959,24.0
1960,24.0
1961,24.0
1962,24.0
1963,24.0
1964,24.0
1965,24.0
1966,24.0
1967,24.0
1968,24.0
1969,24.0
1970,24.0
1971,24.0
1972,24.0
1973,24.0
1974,24.0
1975,24.0
1976,24.0
1977,24.0
1978,24.0
1979,24.0
1980,24.0
1981,24.0
1982,24.0
1983,24.0
1984,24.0
1985,24.0
1986,24.0
1987,24.0
1988,24.0
1989,24.0
1990,24.0
1991,24.0
1992,24.0
1993,24.0
1994,24.0
1995,24.0
1996,24.0
1997,24.0
1998,24.0
1999,24.0
2000,24.0
2001,24.0
2002,24.0
2003,25.0
2004,25.0
2005,25.0
2006,25.0
2007,25.0
2008,25.0
2009,25.0
2010,25.0
2011,25.0
2012,25.0
2013,25.0
2014,25.0
2015,25.0
2016,25.0
2017,25.0
2018,25.0
2019,25.0
2020,25.0
2021,25.0
2022,25.0
2023,25.0
2024,25.0
2025,25.0
2026,25.0
2027,25.0
2028,25.0
2029,25.0
2030,25.0
2031,25.0
2032,25.0
2033,25.0
2034,25.0
2035,25.0
2036,25.0
2037,25.0
2038,25.0
2039,25.0
2040,25.0
2041,25.0
2042,25.0
2043,25.0
2044,25.0
2045,25.0
2046,25.0
2047,25.0
2048,25.0
2049,25.0
2050,25.0
2051,25.0
2052,25.0
2053,25.0
2054,25.0
2055,25.0
2056,25.0
2057,25.0
2058,25.0
2059,26.0
2060,26.0
2061,26.0
2062,26.0
2063,26.0
2064,26.0
2065,26.0
2066,26.0
2067,26.0
2068,26.0
2069,26.0
2070,26.0
2071,26.0
2072,26.0
2073,26.0
2074,26.0
2075,26.0
2076,26.0
2077,26.0
2078,26.0
2079,26.0
2080,26.0
2081,26.0
2082,26.0
2083,26.0
2084,26.0
2085,26.0
2086,26.0
2087,26.0
2088,26.0
2089,26.0
2090,26.0
2091,26.0
2092,26.0
2093,26.0
2094,26.0
2095,26.0
2096,26.0
2097,26.0
2098,26.0
2099,26.0
2100,26.0
2101,26.0
2102,26.0
2103,26.0
2104,26.0
2105,26.0
2106,26.0
2107,26.0
2108,26.0
2109,26.0
2110,26.0
2111,26.0
2112,26.0
2113,26.0
2114,26.0
2115,26.0
2116,26.0
2117,26.0
2118,26.0
2119,26.0
2120,26.0
2121,26.0
2122,26.0
2123,26.0
2124,26.0
2125,26.0
2126,26.0
2127,26.0
2128,26.0
2129,26.0
2130,26.0
2131,26.0
2132,26.0
2133,26.0
2134,26.0
2135,26.0
2136,26.0
2137,26.0
2138,26.0
2139,26.0
